13	160
16	16
18
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1	2	2	3	2	2	2	3	4	3	4	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	4	3	4	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	0	0	0	0	0	0	
30	1	2	31	32	33	2	34	35	31	35	2	2	2	2	2	2	36	37	38	2	2	2	2	2	2	2	2	2	36	37	38	2	2	2	2	2	36	37	38	2	2	2	2	2	31	35	31	35	2	2	36	37	38	2	2	2	36	37	38	2	31	32	33	3	33	2	34	32	33	2	2	2	2	2	36	37	38	2	2	2	2	2	36	37	38	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	36	38	2	2	2	36	37	38	2	2	2	2	36	38	2	2	2	2	2	36	37	38	0	39	40	41	42	43	44	45	46	47	48	49	50	51	52	0	53	54	55	56	57	58	59	60	61	62	0	0	0	0	0	0	
30	63	2	64	65	66	67	68	67	68	67	2	2	2	2	2	2	69	69	70	69	2	71	72	69	70	71	72	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	64	67	68	67	2	2	2	2	2	2	2	2	2	2	2	2	64	65	66	65	66	67	68	65	66	67	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	73	74	74	74	2	2	2	2	2	69	69	70	71	72	69	2	2	69	69	2	69	70	71	72	2	2	2	2	2	2	2	2	2	2	2	2	0	39	75	41	76	77	78	79	80	81	82	83	84	85	86	0	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	
103	104	2	68	105	106	107	68	107	68	107	2	36	38	2	2	71	108	109	109	109	110	108	111	109	109	108	111	72	2	2	2	2	2	36	38	2	2	2	2	2	2	2	2	2	68	107	68	107	2	2	2	2	2	2	2	2	2	2	2	2	68	105	106	105	106	107	68	105	106	107	2	36	38	2	2	2	2	2	2	2	2	2	2	2	2	36	38	2	2	2	2	112	113	113	114	2	36	37	38	71	108	109	109	108	111	109	72	71	108	109	110	109	109	108	111	72	2	2	36	37	38	2	2	2	2	2	2	0	115	116	117	118	119	120	121	122	123	124	125	126	127	128	0	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	
145	104	2	68	146	105	147	68	147	68	147	2	2	2	2	148	149	150	149	150	149	150	150	151	149	150	150	151	149	152	2	2	2	2	2	69	69	70	71	72	2	70	2	2	2	68	147	68	147	2	2	2	73	74	74	74	74	74	74	74	2	68	146	105	146	105	147	68	146	105	147	2	2	2	2	2	73	74	2	2	73	74	74	74	74	74	2	2	2	2	73	74	112	113	113	114	2	2	2	148	149	150	149	150	150	151	149	150	150	151	149	150	149	150	150	151	149	152	2	2	2	69	69	70	2	70	71	72	0	0	153	154	155	156	0	0	0	157	0	158	159	0	0	0	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	0	
145	175	176	177	178	179	180	179	180	179	181	182	176	177	177	183	184	183	184	183	184	183	178	184	184	183	178	184	184	183	181	177	181	182	148	150	149	149	150	150	185	149	152	2	176	177	180	179	181	182	2	2	112	113	113	113	113	113	113	114	176	177	178	179	178	179	180	179	178	179	181	182	176	177	181	182	112	114	2	2	112	113	113	113	113	114	2	2	2	2	112	114	112	113	113	114	176	177	177	183	184	183	184	183	178	184	184	183	178	184	184	183	184	183	178	184	184	183	181	182	148	150	149	149	185	149	150	150	0	0	186	187	188	189	0	0	0	190	191	192	193	0	0	0	194	195	196	197	198	199	200	201	202	203	204	205	206	207	208	0	
209	210	211	211	211	211	211	211	211	211	211	211	211	211	211	211	211	211	211	211	211	211	211	211	211	211	211	211	211	211	211	211	211	211	211	211	211	211	211	211	211	211	211	211	211	211	211	211	211	211	73	74	112	113	113	113	113	113	113	114	211	211	211	211	211	211	211	211	211	211	211	211	211	211	211	211	212	213	211	211	112	113	113	113	113	114	211	211	73	74	212	213	112	113	113	114	211	211	211	211	211	211	211	211	211	211	211	211	211	211	211	211	211	211	211	211	211	211	211	211	211	211	211	211	211	211	211	211	0	0	214	215	216	217	0	0	0	218	219	220	221	222	0	0	223	224	225	226	227	228	229	230	231	232	233	234	235	236	237	0	
238	210	239	239	239	239	239	239	239	239	239	239	239	239	239	239	239	239	239	239	239	239	239	239	239	239	239	239	239	239	239	239	239	239	239	239	239	239	239	239	239	239	239	239	239	239	239	239	239	239	112	114	112	113	113	113	113	113	113	114	239	239	239	239	239	239	239	239	239	239	239	239	239	239	239	239	112	114	239	239	112	113	113	113	113	114	239	239	112	114	112	114	112	113	113	114	239	239	239	239	239	239	239	239	239	239	239	239	239	239	239	239	239	239	239	239	239	239	239	239	239	239	239	239	239	239	239	239	0	0	0	240	241	242	243	244	0	245	246	247	248	249	0	0	250	251	252	253	254	255	256	257	258	259	260	261	262	263	0	0	
